sam_address_id,full_address,mailing_neighborhood,state,zip_code,x_coord,y_coord,recollect,trashday,pwd_district
219174,247 Cornell St # 1,Roslindale,MA,2131,-71.1365208,42.28038963574491,TH,TH,6
287156,18 Ophir St #2,Jamaica Plain,MA,2130,-71.10447262,42.31074573960206,F,F,2
187093,48 N Bennet St #3,Boston,MA,2113,-71.05501042,42.36571951533747,MTH,MTH,1
91522,70 Marlborough St #9,Boston,MA,2116,-71.0752805,42.35355954293275,MTH,MTH,1
433835,23-55 Northern Ave #456,Boston,MA,2210,-71.04722028,42.353108179533415,TH5,TH,5
74185,154-156 Hillside St,Mission Hill,MA,2120,-71.10687062,42.33129958726715,TF,TF,10
54827,71 Evans St,Dorchester,MA,2124,-71.08053067,42.282519557085415,T,T,7
65472,83 Gordon St #15,Brighton,MA,2135,-71.14020765,42.35012462817335,W,W,4
224422,28 Dr. Michael Gavin Way #989,South Boston,MA,2127,-71.05367051,42.32561951639829,TH5,TH,5
107301,231 Park St,Dorchester,MA,2124,-71.06329059,42.298049531703874,T,T,7
16862,265 Bolton St,South Boston,MA,2127,-71.04606047,42.33749950567376,TH5,TH,5
288994,231 Park Dr #10,Boston,MA,2215,-71.10125278,42.34230305116294,TF,TF,10
153043,20 Wycliff Ave,West Roxbury,MA,2132,-71.16806088,42.27624968050647,F,F,6
175770,570 Adams St #2,Dorchester,MA,2122,-71.05612059,42.29045952235096,F,F,7
249885,60 Hazleton St #4,Mattapan,MA,2126,-71.09620489,42.28010716354973,M,M,7
139313,19 Union St,Charlestown,MA,2129,-71.06449643,42.37415552688712,W1A,W,1A
435105,1383-1395 Boylston St #39,Boston,MA,2215,-71.10172284,42.34382019172569,TF,TF,10
13902,127 Bellevue St,West Roxbury,MA,2132,-71.15325084,42.28025966,T,T,6
415647,580 Commonwealth Ave #1006,Boston,MA,2215,-71.09936056,42.348809574678086,TF,TF,10
48058,39-41 Donnybrook Rd,Brighton,MA,2135,-71.16035268,42.35461265367788,M,M,4
160027,505 Shawmut Ave #4,Roxbury,MA,2118,-71.07718053,42.33811954663874,TF,TF,1
435165,1383-1395 Boylston St #100,Boston,MA,2215,-71.10170836,42.34373370779154,TF,TF,10
417103,170 Brookline Ave #814,Boston,MA,2215,-71.10142058,42.34411957800591,TF,TF,10
312714,6 Southbourne Rd #114,Jamaica Plain,MA,2130,-71.11771173,42.29011760788462,TH,TH,2
17226,17-19 Bothwell Rd,Brighton,MA,2135,-71.16065969,42.35332165415292,M,M,4
6264,500 Atlantic Ave #18H,Boston,MA,2110,-71.05228044,42.35409951265606,MF,MF,1
363412,4 Longfellow Pl #3302,Boston,MA,2114,-71.06430045,42.36313952750965,MF,MF,1
384820,12 Richfield St # 1,Dorchester,MA,2125,-71.07218059,42.30887954285847,T,T,3
6361,11 Atlantic St,South Boston,MA,2127,-71.04641047,42.33415950609976,W5,W,5
365436,115 Gainsborough St Unit,Boston,MA,2115,-71.08985055,42.34273956293349,TF,TF,10
208452,69 Clarkson St # 3,Dorchester,MA,2125,-71.06782058,42.30827953696379,T,T,3
4671,3 Ardee St,East Boston,MA,2128,-71.03056477,42.36608022032926,W,W,9
418822,30 Bryon Rd # 4,West Roxbury,MA,2467,-71.16696082,42.30159967368395,M,M,6
142706,33 Ward St,South Boston,MA,2127,-71.05462977,42.32942028,TH5,TH,5
436633,36-62 Poydras St #75,Mattapan,MA,2126,-71.1054472,42.26234864176021,TH,TH,8
68541,94 Hammond St,Mission Hill,MA,2120,-71.08360055,42.33646955573248,TF,TF,10
384853,77 Clarkson St,Dorchester,MA,2125,-71.06817058,42.30807953746331,T,T,3
119461,25 Ruggles St,Roxbury,MA,2119,-71.08325056,42.33188955505523,TF,TF,10
232225,12 F St # 1,South Boston,MA,2127,-71.05164049,42.33369951315293,F5,F,5
292232,79 Perkins St # 1,Jamaica Plain,MA,2130,-71.11374065,42.321489597592745,T,T,2
93287,32 Maynard St,Roslindale,MA,2131,-71.12383078,42.27565961903559,TH,TH,8
310370,757 Shawmut Ave #1005,Mission Hill,MA,2120,-71.08432056,42.332079556852015,TF,TF,10
301741,18 Rowell St # 3,Dorchester,MA,2125,-71.06452056,42.31348953206128,TH,TH,3
72403,55 Heath St,Jamaica Plain,MA,2130,-71.09989261,42.32580658,TF,TF,10
31979,99 Chestnut Hill Ave #307,Brighton,MA,2135,-71.15380069,42.34403964736583,TH,TH,4
178387,38 Annunciation Rd #P,Mission Hill,MA,2120,-71.09187057,42.33519956653839,TF,TF,10
22330,195 W Brookline St #2,Roxbury,MA,2118,-71.07642052,42.343379544785904,TF,TF,1
338640,247 Woodrow Ave #1,Dorchester,MA,2124,-71.09009068,42.286019569963614,M,M,7
198222,168 Brooks St # 2,East Boston,MA,2128,-71.03570035,42.37951948975032,M,M,9
29841,64 Charlesgate E #086,Boston,MA,2215,-71.0905962,42.34680928325928,TF,TF,10
37839,1568 Commonwealth Ave #12,Brighton,MA,2135,-71.14217685,42.34390868623382,W,W,4
176319,3 Alaska St #1,Roxbury,MA,2119,-71.07957058,42.32124955,MTH,MTH,10
240154,30 Garrison St #311,Boston,MA,2116,-71.07898052,42.34569954826625,MTH,MTH,1
157893,5 Saint Lukes Rd,Allston,MA,2134,-71.1271331,42.352158714968056,W,W,4
410184,190 Lake Shore Rd # 1,Brighton,MA,2135,-71.17042073,42.34539966858147,TH,TH,4
64485,3 Glenmore St,Mattapan,MA,2126,-71.07777268,42.27251855462799,W,W,7
186331,22 Beechwood St #205,Dorchester,MA,2121,-71.07471176,42.30595773256034,T,T,3
297810,119 Regent St #2,Roxbury,MA,2119,-71.08824059,42.32268956311167,MTH,MTH,10
63968,82 Glen Rd,Jamaica Plain,MA,2130,-71.10021065,42.30853958092269,W,W,2
120601,87-89 Saint Andrew Rd,East Boston,MA,2128,-71.00110626,42.383731445721416,F,F,9
292947,25 Peterborough St #14,Boston,MA,2215,-71.09618056,42.34423957105549,TF,TF,10
198900,60 Brunswick St #5,Dorchester,MA,2121,-71.0818206,42.31187955564004,MTH,MTH,10
117840,109 Rockview St,Jamaica Plain,MA,2130,-71.11128067,42.3129696,T,T,2
65732,18 Granada Ave,Roslindale,MA,2131,-71.12892079,42.27738962566993,TH,TH,6
225903,385 Dorchester St #B1,South Boston,MA,2127,-71.05641051,42.33026951972688,TH5,TH,5
146152,703 Washington St,Dorchester,MA,2124,-71.07140064,42.28690954395666,T,T,7
200380,25 Calder St #3R,Dorchester,MA,2124,-71.08802065,42.297349565817385,M,M,7
374306,21 Hommagen Ct,Roxbury,MA,2119,-71.08765059,42.32523956205713,MTH,MTH,10
93134,40 Maxwell St,Dorchester,MA,2124,-71.07798066,42.282029553427854,W,W,7
278753,43 Mount Pleasant Ave # 3,Roxbury,MA,2119,-71.07964057,42.32673955119066,MTH,MTH,10
72585,103 Hemenway St #4,Boston,MA,2115,-71.09036055,42.34329956389091,TF,TF,10
357286,1 India St # 8I,Boston,MA,2109,-71.05419044,42.35912951473688,MF,MF,1
422627,94 Condor St,East Boston,MA,2128,-71.03708161,42.38287478,,,
319614,115 Tonawanda St # 1,Dorchester,MA,2124,-71.07004061,42.29805954096537,M,M,3
374611,73 Kensington Park,Roxbury,MA,2119,-71.08236205,42.32088325525072,MTH,MTH,10
72591,103 Hemenway St #10,Boston,MA,2115,-71.09036055,42.34329956389091,TF,TF,10
181651,65 Bailey St #3,Dorchester,MA,2124,-71.06625363,42.28437553694753,TH,TH,7
123461,86 Savin Hill Ave #86-3,Dorchester,MA,2125,-71.05471054,42.31230951876141,F,F,3
333364,1 Webster Pl # 1,Boston,MA,2113,-71.05278042,42.36482951251287,MTH,MTH,1
107555,60 Park St,West Roxbury,MA,2132,-71.15745083,42.28604966381073,M,M,6
84963,17 Leighton Rd,Hyde Park,MA,2136,-71.14308087,42.25298965043218,T,T,8
334109,140 Wellington Hill St #2,Mattapan,MA,2126,-71.09477069,42.28478957667342,M,M,7
194651,52 Boylston St #2R,Jamaica Plain,MA,2130,-71.10718065,42.31771959,F,F,2
454208,8 Egret Way,Dorchester,MA,2126,-71.09769461,42.28617617746704,TH,TH,2
381711,109 Norfolk St,Dorchester,MA,2124,-71.07646064,42.28848955075163,T,T,7
187333,163 Bennington St #3,East Boston,MA,2128,-71.03291035,42.376999486354336,T,T,9
322772,109 Tremont St #210,Brighton,MA,2135,-71.17269072,42.35151967017613,TH,TH,4
319415,3 Thurston St # 2,East Boston,MA,2128,-71.00657027,42.38557945270525,F,F,9
